,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency
Mean1,75.41875,75.41875,75.44925,0.030500000000003524,False,0.14974999999998317,0.1802499999999867,1,0.4722313427785768,75.43325,0.014499999999998181,0.016000000000005343,32.78688524589785
Mean1,75.59899999999999,75.59899999999999,75.62675,0.02775000000001171,False,0.1527499999999975,0.1805000000000092,1,0.45578330922003785,75.61275,0.013750000000015916,0.013999999999995794,36.03603603602083
Mean1,75.7795,75.7795,75.80775,0.028249999999999886,False,0.14849999999999852,0.1767499999999984,1,0.458131385894215,75.79325,0.013750000000001705,0.014499999999998181,35.398230088495716
Mean1,75.95625,75.95625,75.98725,0.03100000000000591,False,0.14724999999999966,0.17825000000000557,1,0.490027058439031,75.97225,0.016000000000005343,0.015000000000000568,32.25806451612288
Mean1,76.1345,76.1345,76.1645,0.030000000000001137,False,0.15075000000000216,0.1807500000000033,1,0.4739091591880062,76.14875,0.014250000000004093,0.015749999999997044,33.33333333333207
Mean1,76.31525,76.31525,76.343,0.0277499999999975,False,0.1525000000000034,0.1802500000000009,1,0.45174504536733073,76.32900000000001,0.013750000000001705,0.013999999999995794,36.036036036039285
Mean1,76.4955,76.4955,76.524,0.028499999999993975,False,0.14849999999999852,0.1769999999999925,1,0.4591795416052999,76.50925000000001,0.013750000000001705,0.01474999999999227,35.087719298253035
Mean1,76.6725,76.6725,76.70325,0.030749999999997613,False,0.14750000000000796,0.17825000000000557,1,0.4823512463489027,76.6885,0.016000000000005343,0.01474999999999227,32.52032520325456
Mean1,76.85075,76.85075,76.8805,0.029749999999992838,False,0.15099999999999625,0.18074999999998909,1,0.46746886931766424,76.865,0.014249999999989882,0.015500000000002956,33.613445378159355
Mean1,77.0315,77.0315,77.05975,0.028249999999999886,False,0.15175000000000693,0.18000000000000682,1,0.46791877412524796,77.04575,0.014250000000004093,0.013999999999995794,35.398230088495716
Mean1,77.2115,77.2115,77.2405,0.028999999999996362,False,0.14799999999999613,0.1769999999999925,1,0.46923694005484196,77.2255,0.013999999999995794,0.015000000000000568,34.48275862069398
Mean1,77.3885,77.3885,77.41925,0.030750000000011823,False,0.14799999999999613,0.17875000000000796,1,0.48020110359893536,77.40425,0.015750000000011255,0.015000000000000568,32.52032520323953
